座席ID,スクリーンID,列,座席番号,ブロック,通路側,車イス席,座席ランク
T01-J-19,1,J,19,中央,False,False,プレミアム
T01-J-20,1,J,20,中央,True,False,プレミアム
T01-J-23,1,J,23,右,True,False,スタンダード
T01-J-24,1,J,24,右,False,False,スタンダード
T01-K-01,1,K,1,左,False,False,スタンダード
T01-K-02,1,K,2,左,False,False,スタンダード
T01-K-03,1,K,3,左,False,False,スタンダード
T01-K-04,1,K,4,左,True,False,スタンダード
T01-K-07,1,K,7,中央,True,False,プレミアム
T01-K-08,1,K,8,中央,False,False,プレミアム
T01-K-09,1,K,9,中央,False,False,プレミアム
T01-K-10,1,K,10,中央,False,False,プレミアム
T01-K-11,1,K,11,中央,False,False,プレミアム
T01-K-12,1,K,12,中央,False,False,プレミアム
T01-K-13,1,K,13,中央,False,False,プレミアム
T01-K-14,1,K,14,中央,False,False,プレミアム
T01-K-15,1,K,15,中央,False,False,プレミアム
T01-K-16,1,K,16,中央,False,False,プレミアム
T01-K-17,1,K,17,中央,False,False,プレミアム
T01-K-18,1,K,18,中央,False,False,プレミアム
T01-K-19,1,K,19,中央,False,False,プレミアム
T01-K-20,1,K,20,中央,True,False,プレミアム
T01-K-23,1,K,23,右,True,False,スタンダード
T01-K-24,1,K,24,右,False,False,スタンダード
T01-L-01,1,L,1,左,False,False,スタンダード
T01-L-02,1,L,2,左,False,False,スタンダード
T01-L-03,1,L,3,左,False,False,スタンダード
T01-L-04,1,L,4,左,True,False,スタンダード
T01-L-07,1,L,7,中央,True,False,プレミアム
T01-L-08,1,L,8,中央,False,False,プレミアム
T01-L-09,1,L,9,中央,False,False,プレミアム
T01-L-10,1,L,10,中央,False,False,プレミアム
T01-L-11,1,L,11,中央,False,False,プレミアム
T01-L-12,1,L,12,中央,False,False,プレミアム
T01-L-13,1,L,13,中央,False,False,プレミアム
T01-L-14,1,L,14,中央,False,False,プレミアム
T01-L-15,1,L,15,中央,False,False,プレミアム
T01-L-16,1,L,16,中央,False,False,プレミアム
T01-L-17,1,L,17,中央,False,False,プレミアム
T01-L-18,1,L,18,中央,False,False,プレミアム
T01-L-19,1,L,19,中央,False,False,プレミアム
T01-L-20,1,L,20,中央,True,False,プレミアム
T01-L-23,1,L,23,右,True,False,スタンダード
T01-L-24,1,L,24,右,False,False,スタンダード
T01-M-01,1,M,1,左,False,False,スタンダード
T01-M-02,1,M,2,左,False,False,スタンダード
T01-M-03,1,M,3,左,False,False,スタンダード
T01-M-04,1,M,4,左,True,False,スタンダード
T01-M-07,1,M,7,中央,True,False,プレミアム
T01-M-08,1,M,8,中央,False,False,プレミアム
T01-M-09,1,M,9,中央,False,False,プレミアム
T01-M-10,1,M,10,中央,False,False,プレミアム
T01-M-11,1,M,11,中央,False,False,プレミアム
T01-M-12,1,M,12,中央,False,False,プレミアム
T01-M-13,1,M,13,中央,False,False,プレミアム
T01-M-14,1,M,14,中央,False,False,プレミアム
T01-M-15,1,M,15,中央,False,False,プレミアム
T01-M-16,1,M,16,中央,False,False,プレミアム
T01-M-17,1,M,17,中央,False,False,プレミアム
T01-M-18,1,M,18,中央,False,False,プレミアム
T01-M-19,1,M,19,中央,False,False,プレミアム
T01-M-20,1,M,20,中央,True,False,プレミアム
T01-M-23,1,M,23,右,True,False,スタンダード
T01-M-24,1,M,24,右,False,False,スタンダード
T01-M-25,1,M,25,右,False,False,スタンダード
T01-M-26,1,M,26,右,False,False,スタンダード
T01-N-01,1,N,1,左,False,False,スタンダード
T01-N-02,1,N,2,左,False,False,スタンダード
T01-N-03,1,N,3,左,False,False,スタンダード
T01-N-04,1,N,4,左,True,False,スタンダード
T01-N-07,1,N,7,中央,True,False,プレミアム
T01-N-08,1,N,8,中央,False,False,プレミアム
T01-N-09,1,N,9,中央,False,False,プレミアム
T01-N-10,1,N,10,中央,False,False,プレミアム
T01-N-11,1,N,11,中央,False,False,プレミアム
T01-N-12,1,N,12,中央,False,False,プレミアム
T01-N-13,1,N,13,中央,False,False,プレミアム
T01-N-14,1,N,14,中央,False,False,プレミアム
T01-N-15,1,N,15,中央,False,False,プレミアム
T01-N-16,1,N,16,中央,False,False,プレミアム
T01-N-17,1,N,17,中央,False,False,プレミアム
T01-N-18,1,N,18,中央,False,False,プレミアム
T01-N-19,1,N,19,中央,False,False,プレミアム
T01-N-20,1,N,20,中央,True,False,プレミアム
T01-N-23,1,N,23,右,True,False,スタンダード
T01-N-24,1,N,24,右,False,False,スタンダード
T01-N-25,1,N,25,右,False,False,スタンダード
T01-N-26,1,N,26,右,False,False,スタンダード
T01-O-01,1,O,1,左,False,False,スタンダード
T01-O-02,1,O,2,左,False,False,スタンダード
T01-O-03,1,O,3,左,False,False,スタンダード
T01-O-04,1,O,4,左,False,False,スタンダード
T01-O-05,1,O,5,左,False,False,スタンダード
T01-O-06,1,O,6,左,True,False,スタンダード
T01-O-07,1,O,7,中央,True,False,プレミアム
T01-O-08,1,O,8,中央,False,False,プレミアム
T01-O-09,1,O,9,中央,False,False,プレミアム
T01-O-10,1,O,10,中央,False,False,プレミアム
T01-O-11,1,O,11,中央,False,False,プレミアム
T01-O-12,1,O,12,中央,False,False,プレミアム
T01-O-13,1,O,13,中央,False,False,プレミアム
T01-O-14,1,O,14,中央,False,False,プレミアム
T01-O-15,1,O,15,中央,False,False,プレミアム
T01-O-16,1,O,16,中央,False,False,プレミアム
T01-O-17,1,O,17,中央,False,False,プレミアム
T01-O-18,1,O,18,中央,False,False,プレミアム
T01-O-19,1,O,19,中央,False,False,プレミアム
T01-O-20,1,O,20,中央,True,False,プレミアム
T01-O-21,1,O,21,右,True,False,スタンダード
T01-O-22,1,O,22,右,False,False,スタンダード
T01-O-23,1,O,23,右,False,False,スタンダード
T01-O-24,1,O,24,右,False,False,スタンダード
T01-O-25,1,O,25,右,False,False,スタンダード
T01-O-26,1,O,26,右,False,False,スタンダード
T02-A-01,2,A,1,左,False,False,前方
T02-A-02,2,A,2,左,False,False,前方
T02-A-03,2,A,3,左,False,False,前方
T02-A-04,2,A,4,左,True,False,前方
T02-A-07,2,A,7,中央,True,False,前方
T02-A-08,2,A,8,中央,False,False,前方
T02-A-09,2,A,9,中央,False,False,前方
T02-A-10,2,A,10,中央,False,False,前方
T02-A-11,2,A,11,中央,False,False,前方
T02-A-12,2,A,12,中央,False,False,前方
T02-A-13,2,A,13,中央,False,False,前方
T02-A-14,2,A,14,中央,False,False,前方
T02-A-15,2,A,15,中央,False,False,前方
T02-A-16,2,A,16,中央,False,False,前方
T02-A-17,2,A,17,中央,False,False,前方
T02-A-18,2,A,18,中央,True,False,前方
T02-A-21,2,A,21,右,True,False,前方
T02-A-22,2,A,22,右,False,False,前方
T02-A-23,2,A,23,右,False,False,前方
T02-A-24,2,A,24,右,False,False,前方
T02-B-01,2,B,1,左,False,False,前方
T02-B-02,2,B,2,左,False,False,前方
T02-B-03,2,B,3,左,False,False,前方
T02-B-04,2,B,4,左,True,False,前方
T02-B-07,2,B,7,中央,True,False,前方
T02-B-08,2,B,8,中央,False,False,前方
T02-B-09,2,B,9,中央,False,False,前方
T02-B-10,2,B,10,中央,False,False,前方
T02-B-11,2,B,11,中央,False,False,前方
T02-B-12,2,B,12,中央,False,False,前方
T02-B-13,2,B,13,中央,False,False,前方
T02-B-14,2,B,14,中央,False,False,前方
T02-B-15,2,B,15,中央,False,False,前方
T02-B-16,2,B,16,中央,False,False,前方
T02-B-17,2,B,17,中央,False,False,前方
T02-B-18,2,B,18,中央,True,False,前方
T02-B-21,2,B,21,右,True,False,前方
T02-B-22,2,B,22,右,False,False,前方
T02-B-23,2,B,23,右,False,False,前方
T02-B-24,2,B,24,右,False,False,前方
T02-C-01,2,C,1,左,False,False,スタンダード
T02-C-02,2,C,2,左,False,False,スタンダード
T02-C-03,2,C,3,左,False,False,スタンダード
T02-C-04,2,C,4,左,True,False,スタンダード
T02-C-07,2,C,7,中央,True,False,スタンダード
T02-C-08,2,C,8,中央,False,False,スタンダード
T02-C-09,2,C,9,中央,False,False,スタンダード
T02-C-10,2,C,10,中央,False,False,スタンダード
T02-C-11,2,C,11,中央,False,False,スタンダード
T02-C-12,2,C,12,中央,False,False,スタンダード
T02-C-13,2,C,13,中央,False,False,スタンダード
T02-C-14,2,C,14,中央,False,False,スタンダード
T02-C-15,2,C,15,中央,False,False,スタンダード
T02-C-16,2,C,16,中央,False,False,スタンダード
T02-C-17,2,C,17,中央,False,False,スタンダード
T02-C-18,2,C,18,中央,True,False,スタンダード
T02-C-21,2,C,21,右,True,False,スタンダード
T02-C-22,2,C,22,右,False,False,スタンダード
T02-C-23,2,C,23,右,False,False,スタンダード
T02-C-24,2,C,24,右,False,False,スタンダード
T02-D-03,2,D,3,左,False,False,スタンダード
T02-D-04,2,D,4,左,True,False,スタンダード
T02-D-07,2,D,7,中央,True,True,スタンダード
T02-D-08,2,D,8,中央,False,False,スタンダード
T02-D-09,2,D,9,中央,False,False,スタンダード
T02-D-10,2,D,10,中央,False,False,スタンダード
T02-D-11,2,D,11,中央,False,False,スタンダード
T02-D-12,2,D,12,中央,False,False,スタンダード
T02-D-13,2,D,13,中央,False,False,スタンダード
T02-D-14,2,D,14,中央,False,False,スタンダード
T02-D-15,2,D,15,中央,False,False,スタンダード
T02-D-16,2,D,16,中央,False,False,スタンダード
T02-D-17,2,D,17,中央,True,True,スタンダード
T02-D-21,2,D,21,右,True,False,スタンダード
T02-D-22,2,D,22,右,False,False,スタンダード
T02-D-23,2,D,23,右,False,False,スタンダード
T02-D-24,2,D,24,右,False,False,スタンダード
T02-E-03,2,E,3,左,False,False,スタンダード
T02-E-04,2,E,4,左,True,False,スタンダード
T02-E-07,2,E,7,中央,True,False,プレミアム
T02-E-08,2,E,8,中央,False,False,プレミアム
T02-E-09,2,E,9,中央,False,False,プレミアム
T02-E-10,2,E,10,中央,False,False,プレミアム
T02-E-11,2,E,11,中央,False,False,プレミアム
T02-E-12,2,E,12,中央,False,False,プレミアム
T02-E-13,2,E,13,中央,False,False,プレミアム
T02-E-14,2,E,14,中央,False,False,プレミアム
T02-E-15,2,E,15,中央,False,False,プレミアム
T02-E-16,2,E,16,中央,False,False,プレミアム
T02-E-17,2,E,17,中央,False,False,プレミアム
T02-E-18,2,E,18,中央,True,False,プレミアム
T02-E-21,2,E,21,右,True,False,スタンダード
T02-E-22,2,E,22,右,False,False,スタンダード
T02-E-23,2,E,23,右,False,False,スタンダード
T02-E-24,2,E,24,右,False,False,スタンダード
T02-F-03,2,F,3,左,False,False,スタンダード
T02-F-04,2,F,4,左,True,False,スタンダード
T02-F-07,2,F,7,中央,True,False,プレミアム
T02-F-08,2,F,8,中央,False,False,プレミアム
T02-F-09,2,F,9,中央,False,False,プレミアム
T02-F-10,2,F,10,中央,False,False,プレミアム
T02-F-11,2,F,11,中央,False,False,プレミアム
T02-F-12,2,F,12,中央,False,False,プレミアム
T02-F-13,2,F,13,中央,False,False,プレミアム
T02-F-14,2,F,14,中央,False,False,プレミアム
T02-F-15,2,F,15,中央,False,False,プレミアム
T02-F-16,2,F,16,中央,False,False,プレミアム
T02-F-17,2,F,17,中央,False,False,プレミアム
T02-F-18,2,F,18,中央,True,False,プレミアム
T02-F-21,2,F,21,右,True,False,スタンダード
T02-F-22,2,F,22,右,False,False,スタンダード
T02-F-23,2,F,23,右,False,False,スタンダード
T02-F-24,2,F,24,右,False,False,スタンダード
T02-G-03,2,G,3,左,False,False,スタンダード
T02-G-04,2,G,4,左,True,False,スタンダード
T02-G-07,2,G,7,中央,True,False,プレミアム
T02-G-08,2,G,8,中央,False,False,プレミアム
T02-G-09,2,G,9,中央,False,False,プレミアム
T02-G-10,2,G,10,中央,False,False,プレミアム
T02-G-11,2,G,11,中央,False,False,プレミアム
T02-G-12,2,G,12,中央,False,False,プレミアム
T02-G-13,2,G,13,中央,False,False,プレミアム
T02-G-14,2,G,14,中央,False,False,プレミアム
T02-G-15,2,G,15,中央,False,False,プレミアム
T02-G-16,2,G,16,中央,False,False,プレミアム
T02-G-17,2,G,17,中央,False,False,プレミアム
T02-G-18,2,G,18,中央,True,False,プレミアム
T02-G-21,2,G,21,右,True,False,スタンダード
T02-G-22,2,G,22,右,False,False,スタンダード
T02-G-23,2,G,23,右,False,False,スタンダード
T02-G-24,2,G,24,右,False,False,スタンダード
T02-H-03,2,H,3,左,False,False,スタンダード
T02-H-04,2,H,4,左,True,False,スタンダード
T02-H-07,2,H,7,中央,True,False,プレミアム
T02-H-08,2,H,8,中央,False,False,プレミアム
T02-H-09,2,H,9,中央,False,False,プレミアム
T02-H-10,2,H,10,中央,False,False,プレミアム
T02-H-11,2,H,11,中央,False,False,プレミアム
T02-H-12,2,H,12,中央,False,False,プレミアム
T02-H-13,2,H,13,中央,False,False,プレミアム
T02-H-14,2,H,14,中央,False,False,プレミアム
T02-H-15,2,H,15,中央,False,False,プレミアム
T02-H-16,2,H,16,中央,False,False,プレミアム
T02-H-17,2,H,17,中央,False,False,プレミアム
T02-H-18,2,H,18,中央,True,False,プレミアム
T02-H-21,2,H,21,右,True,False,スタンダード
T02-H-22,2,H,22,右,False,False,スタンダード
T02-H-23,2,H,23,右,False,False,スタンダード
T02-H-24,2,H,24,右,False,False,スタンダード
T02-I-03,2,I,3,左,False,False,スタンダード
T02-I-04,2,I,4,左,True,False,スタンダード
T02-I-07,2,I,7,中央,True,False,プレミアム
T02-I-08,2,I,8,中央,False,False,プレミアム
T02-I-09,2,I,9,中央,False,False,プレミアム
T02-I-10,2,I,10,中央,False,False,プレミアム
T02-I-11,2,I,11,中央,False,False,プレミアム
T02-I-12,2,I,12,中央,False,False,プレミアム
T02-I-13,2,I,13,中央,False,False,プレミアム
T02-I-14,2,I,14,中央,False,False,プレミアム
T02-I-15,2,I,15,中央,False,False,プレミアム
T02-I-16,2,I,16,中央,False,False,プレミアム
T02-I-17,2,I,17,中央,False,False,プレミアム
T02-I-18,2,I,18,中央,True,False,プレミアム
T02-I-21,2,I,21,右,True,False,スタンダード
T02-I-22,2,I,22,右,False,False,スタンダード
T02-I-23,2,I,23,右,False,False,スタンダード
T02-I-24,2,I,24,右,False,False,スタンダード
T02-J-01,2,J,1,左,False,False,スタンダード
T02-J-02,2,J,2,左,False,False,スタンダード
T02-J-03,2,J,3,左,False,False,スタンダード
T02-J-04,2,J,4,左,True,False,スタンダード
T02-J-07,2,J,7,中央,True,False,プレミアム
T02-J-08,2,J,8,中央,False,False,プレミアム
T02-J-09,2,J,9,中央,False,False,プレミアム
T02-J-10,2,J,10,中央,False,False,プレミアム
T02-J-11,2,J,11,中央,False,False,プレミアム
T02-J-12,2,J,12,中央,False,False,プレミアム
T02-J-13,2,J,13,中央,False,False,プレミアム
T02-J-14,2,J,14,中央,False,False,プレミアム
T02-J-15,2,J,15,中央,False,False,プレミアム
T02-J-16,2,J,16,中央,False,False,プレミアム
T02-J-17,2,J,17,中央,False,False,プレミアム
T02-J-18,2,J,18,中央,True,False,プレミアム
T02-J-21,2,J,21,右,True,False,スタンダード
T02-J-22,2,J,22,右,False,False,スタンダード
T02-J-23,2,J,23,右,False,False,スタンダード
T02-J-24,2,J,24,右,False,False,スタンダード
T02-K-01,2,K,1,左,False,False,スタンダード
T02-K-02,2,K,2,左,False,False,スタンダード
T02-K-03,2,K,3,左,False,False,スタンダード
T02-K-04,2,K,4,左,True,False,スタンダード
T02-K-07,2,K,7,中央,True,False,プレミアム
T02-K-08,2,K,8,中央,False,False,プレミアム
T02-K-09,2,K,9,中央,False,False,プレミアム
T02-K-10,2,K,10,中央,False,False,プレミアム
T02-K-11,2,K,11,中央,False,False,プレミアム
T02-K-12,2,K,12,中央,False,False,プレミアム
T02-K-13,2,K,13,中央,False,False,プレミアム
T02-K-14,2,K,14,中央,False,False,プレミアム
T02-K-15,2,K,15,中央,False,False,プレミアム
T02-K-16,2,K,16,中央,False,False,プレミアム
T02-K-17,2,K,17,中央,False,False,プレミアム
T02-K-18,2,K,18,中央,True,False,プレミアム
T02-K-21,2,K,21,右,True,False,スタンダード
T02-K-22,2,K,22,右,False,False,スタンダード
T02-K-23,2,K,23,右,False,False,スタンダード
T02-K-24,2,K,24,右,False,False,スタンダード
T02-L-01,2,L,1,左,False,False,スタンダード
T02-L-02,2,L,2,左,False,False,スタンダード
T02-L-03,2,L,3,左,False,False,スタンダード
T02-L-04,2,L,4,左,False,False,スタンダード
T02-L-05,2,L,5,左,False,False,スタンダード
T02-L-06,2,L,6,左,True,False,スタンダード
T02-L-07,2,L,7,中央,True,False,プレミアム
T02-L-08,2,L,8,中央,False,False,プレミアム
T02-L-09,2,L,9,中央,False,False,プレミアム
T02-L-10,2,L,10,中央,False,False,プレミアム
T02-L-11,2,L,11,中央,False,False,プレミアム
T02-L-12,2,L,12,中央,False,False,プレミアム
T02-L-13,2,L,13,中央,False,False,プレミアム
T02-L-14,2,L,14,中央,False,False,プレミアム
T02-L-15,2,L,15,中央,False,False,プレミアム
T02-L-16,2,L,16,中央,False,False,プレミアム
T02-L-17,2,L,17,中央,False,False,プレミアム
T02-L-18,2,L,18,中央,True,False,プレミアム
T02-L-19,2,L,19,右,True,False,スタンダード
T02-L-20,2,L,20,右,False,False,スタンダード
T02-L-21,2,L,21,右,False,False,スタンダード
T02-L-22,2,L,22,右,False,False,スタンダード
T02-L-23,2,L,23,右,False,False,スタンダード
T02-L-24,2,L,24,右,False,False,スタンダード
T03-A-05,3,A,5,中央,True,True,前方
T03-A-06,3,A,6,中央,False,False,前方
