年代,声の内容
10代,映画のあと友達とボウリングに行くのが定番コース。セット割引があったら嬉しい。
50代,上映スケジュールがネットで見やすくなった。以前は電話で確認していたので便利になった。
30代,授乳室があるか分からなくて不安だった。赤ちゃん連れでも来やすい情報をもっと発信してほしい。
,フードメニューがポップコーンとドリンクくらいしかない。もう少し選択肢があるといい。
20代,学生最後の年だから学生料金で観まくってます。卒業したら一般料金2000円か…高い。
60代,夫婦50割引のおかげで週に1回は映画を観に来ています。退職後の楽しみです。
40代,シアター10は座席数が多くて開放感がある。大作映画はここで観たい。
10代,部活帰りに友達と来ると、17時の回にちょうど間に合う。でも制服のまま来るとちょっと恥ずかしい。
70代以上,最近の映画は音が大きすぎる。耳が痛くなることがある。音量を選べる上映回があると嬉しい。
30代,子ども向け映画を観に行くと、他の子どもが騒いでいて集中できない。大人だけの回と子連れOKの回を分けてほしい。
20代,メンズデイに一人で来て、隣も一人の男性で、なんとなく連帯感を感じた。
,エアコンが効きすぎて寒い。夏は上着を持って行くようにしている。
50代,シアター3のような小さいスクリーンでも、作品によっては十分楽しめる。むしろ落ち着いた雰囲気で好き。
40代,ネット予約したのに発券機の操作が分かりにくい。もっとシンプルにしてほしい。
10代,映画のチケットが電子化されてスマホで入場できるようになったら便利だと思う。
60代,昔の名作をリバイバル上映してほしい。若い頃に観た映画をもう一度大きなスクリーンで観たい。
30代,ファーストデイは家計に優しい。月初めの楽しみとして定着しています。
,トイレが混雑していて上映に間に合わなかったことがある。女性トイレを増やしてほしい。
40代,シアター1の重低音がすごい。アクション映画はここで観ないと物足りない。
20代,友達に「シネシティザートの音響がいい」と教えてもらって来ました。確かにすごかった。
50代,映画の日（12月1日）は特に混む。もう少し分散してくれるキャンペーンがあるといい。
10代,親と一緒に来たけど、親が寝ちゃってイビキがうるさかった…個人的には楽しかったです。
70代以上,杖をついて歩くのが大変なので、入口から近い席を予約できると助かる。
,シアターの座席番号が暗くて見えない。もう少し光るようにしてほしい。
30代,雨の日に子どもを連れて映画館に行くのは最高の過ごし方。屋内で時間が潰せて助かる。
20代,レディースデイに女子会として利用しています。映画の後にご飯を食べるのが楽しい。
60代,バリアフリーの対応がしっかりしていて安心。車イスでも問題なく楽しめました。
40代,毎週新作が入るので、どの作品を観るか迷う。おすすめ機能があると嬉しい。
10代,アニメ映画の特典が欲しくて何回も来ました。特典がランダムなのが楽しいけど、全部集めるのは大変。
,座席で前の列の人がよく頭を動かすと画面が見えにくい。座席の段差を改善してほしい。
50代,コロナ後に座席間隔が広くなったのは良かった。今は元に戻ったけど、あの広さが快適だった。
20代,深夜上映がもっとあるといいな。金曜の夜に遅い時間の映画を観たい。
30代,静岡駅から近いので仕事帰りに寄りやすい。立地は最高だと思います。
40代,ポイントカードの有効期限が短い。映画好きでも1年で失効するのはもったいない。
,上映中の飲食音が気になる。ポップコーンのガサガサ音は特に。
70代以上,係員が親切に席まで案内してくれて助かりました。高齢者にも優しい映画館です。
10代,映画館デビューしました！スクリーンが大きくて感動。家のテレビとは全然違う。
60代,以前と比べてシニア割引の適用年齢が上がった気がする。もう少し早い年齢から適用してほしい。
20代,SNSで「シアター1の音響がやばい」と話題になっていて来ました。噂通りでした。
30代,子どもの映画デビューに最適な環境。暗くなりすぎない上映回があるといいな。
50代,一人で映画を観る習慣ができてから、月に3〜4回は来ています。顔なじみのスタッフさんもいて嬉しい。
40代,シアター5くらいの大きさがちょうどいい。大きすぎず小さすぎず。
,もぎりの対応が遅い時がある。自動改札みたいなシステムがあると便利。
20代,映画の半券で近隣の飲食店が割引になるサービスがあったら嬉しい。
10代,コナンの映画は毎年欠かさず観に来ます。静岡で上映初日に観られるのがありがたい。
60代,映画館の空調が強すぎて体調を崩したことがある。ひざ掛けの貸し出しがあると嬉しい。
30代,オンラインで座席を選ぶとき、どの席が見やすいか分からない。「おすすめ席」の表示がほしい。
,飲み物のサイズが大きすぎる。もう少し小さいサイズの選択肢がほしい。
50代,最近のチケットは高い。一般2000円は気軽に行ける金額ではない。割引日以外でも安くしてほしい。
20代,映画の感想をすぐSNSに投稿したいけど、ネタバレになるから我慢。感想シェアできるコミュニティがあったらいいな。
10代,鬼滅の刃は友達と5人で来たけど、全員バラバラの席になった。もっと早く予約すればよかった。
70代以上,映画館は若い人の場所だと思っていたけど、シニア割引があると知って来るようになった。
30代,子ども用の座席クッション（ブースターシート）の貸し出しがあって助かった。
20代,推し活で同じ映画を10回以上観ています。リピーター割引があったら泣いて喜ぶ。
60代,上映スケジュールが週替わりで変わるので、計画が立てにくい。2週間分くらい先のスケジュールを公開してほしい。
40代,家族4人で来ると一般2000円×4=8000円。かなりの出費。家族割引がほしい。
50代,レイトショーで観ると帰りが遅くなる。でもあの静かな雰囲気が好き。大人の楽しみ方。
,非常口の位置が分かりにくい。もう少し目立つようにしてほしい。
10代,テスト期間中に気分転換で映画を観に来ました。2時間だけ勉強を忘れられる。
20代,映画館のWi-Fiが弱い。上映前の待ち時間にスマホを使いたいのに。
30代,シアター9は見やすくて好き。中規模で丁度いい。
,ゴミ箱がロビーに少ない。上映後に捨てる場所を探してしまう。
40代,会員になると誕生月に割引があるのが嬉しい。ささやかだけどお得感がある。
60代,字幕版が少なすぎる。洋画は字幕で観たい。吹替版ばかりなのが不満。
20代,予約したのにクレジットカード決済がうまくいかず、席が取り消された。決済システムを改善してほしい。
50代,静岡市内で映画を観るならここ一択。他に選択肢がないからこそ、もっと良くなってほしい。
70代以上,老人会の仲間と一緒に月一で映画を観に来ています。シニア割引がなければ続けられません。
30代,妻と交互に子どもの面子を見ながら映画を観ています。託児サービスがあったら二人で一緒に観られるのに。
,上映前の広告が多すぎる。CMと予告で30分近くかかった。
40代,シアター1でアクション映画を観るのが至福。振動が伝わってくるような臨場感。
20代,映画好きの彼氏に連れてこられたけど、私は音響にそこまで詳しくない。でもシアター1は確かにすごかった。
60代,椅子が硬い。2時間以上座っていると腰が痛くなる。クッション性を改善してほしい。
,ドリンクホルダーが小さくて、Lサイズのドリンクが入らない。
50代,平日の10時台の上映が助かる。午前中に映画を観て、午後は買い物というルーティン。
10代,映画のパンフレットが高い。900円とかするし、中高生にはちょっと手が出ない。
20代,月曜メンズデイに来たら、同じような一人の男性客ばかりで不思議な連帯感があった。
30代,ファーストデイにアニメ映画を家族で観に来ました。4人で4800円、通常より3200円もお得。
,入口が分かりにくい。初めて来た人は迷うと思う。
40代,シアター4は中型で見やすい。特にこだわりがなければここが一番バランスいい。
70代以上,映画館に来ること自体がイベント。帰りにレストランで食事をするのが楽しみ。
20代,映画のグッズが種類豊富で嬉しい。ただ、限定グッズは即売り切れ。事前予約制にしてほしい。
60代,スタッフの方が声をかけてくれて嬉しかった。「お手伝いしましょうか」の一言で安心できる。
30代,子連れだと端の席しか選べない雰囲気がある。子連れ専用エリアがあると気兼ねなく楽しめる。
50代,映画の日に来ることが多い。ただ、同じ考えの人が多くて混雑する。分散する仕組みがほしい。
,上映中に携帯が鳴った人がいた。電源オフの徹底をもっと呼びかけてほしい。
10代,ズートピア2を吹替で観ました！小さい子もいたけど、意外と静かに観ていて感心した。
40代,会員のランクアップ制度があるといいな。たくさん来ている人ほどお得になる仕組み。
20代,映画館でバイトしている友達がいるけど、繁忙期は本当に大変そう。スタッフさんいつもありがとう。
,座席の肘掛けが隣の人と共用なのが気になる。一人一つずつにしてほしい。
60代,映画が終わった後にエンドロールで席を立つ人が多い。余韻を楽しみたいのに残念。
30代,ドラえもんの映画は毎年家族で来ています。春休みの恒例行事です。
50代,自動券売機の操作が複雑。タッチパネルの反応も悪い時がある。
20代,インスタ映えするフォトスポットがロビーにあると、来場の思い出を残せて嬉しい。
10代,映画館に来るのは特別感がある。配信で観るのとは全然違う体験。
,ロビーの椅子が少ない。上映前の待ち時間に座る場所がない。
40代,雨の日は特に映画館が混む気がする。天気によって混雑予想が分かると助かる。
70代以上,最近の映画館はきれい。昔とは全然違う。快適に過ごせるようになった。
20代,映画の前に必ずポップコーンを買うけど、種類が少ない。キャラメル味やチーズ味がほしい。
30代,子どもの映画鑑賞マナーが心配だったけど、周りの方が温かく見守ってくれて安心した。
60代,夫婦で映画に行くのが趣味。月2回は来ている。50割引がなかったらこんなに頻繁には来られない。
50代,上映時間が2時間半を超える作品は疲れる。途中休憩がほしい。
,自販機の品揃えが少ない。ペットボトルのお茶くらい買えるようにしてほしい。
10代,8番出口の映画、めちゃくちゃ怖かった！友達と来てよかった。一人だったら無理。
40代,平日に有休を取って一人で映画を観る贅沢。誰にも邪魔されない2時間。
20代,映画のあとにエレベーターが混雑する。階段の案内ももっとしてほしい。
30代,マタニティ席があると嬉しい。妊娠中でも映画を楽しみたい。
,ポップコーンの食べかすが座席の間に落ちていて不衛生だった。清掃をもっと丁寧にしてほしい。
60代,シニア向けの映画特集をやってほしい。昭和の名作をシリーズ上映してくれたら通う。
20代,映画館のアプリがあったら便利だと思う。予約、ポイント管理、上映スケジュールを一括で。
50代,上映回数が少ない作品は、観たい時間帯に上映していないことが多い。
40代,家族で来ると飲食代だけでかなりの出費になる。持ち込みOKなのは助かる。
10代,推しのアニメ映画の入場者特典を全種類集めたい。何回も通うので学生割引は本当に助かります。
,暗い場所が苦手な子どもがいる。上映前の暗転のタイミングを知らせてくれると準備ができる。
70代以上,トイレが遠い場所に座ると不安。高齢者向けに出入口近くの席を案内してほしい。
30代,子連れで来たとき、周りの目が気になって映画に集中できないことがある。
20代,月曜と金曜に割引があるのはいいけど、水曜日は何もないのが残念。もう1日くらい割引日がほしい。
60代,映画館の暖房が効きすぎて眠くなる。温度管理に気を付けてほしい。
40代,同じ映画でもスクリーンによって見え方が全然違う。どのスクリーンで上映されるか事前に分かると嬉しい。
,上映直前に席を探してウロウロする人がいて迷惑。座席番号の案内をもっと分かりやすく。
50代,映画好きが高じて年間パスポートが欲しいくらい通っている。定額制サービスがあれば絶対に入会する。
10代,アニメ映画の舞台挨拶中継があった時は興奮した。地方でもこういうイベントに参加できるのが嬉しい。
20代,映画デートで来たけど、館内が寒くてブランケットを借りたかった。貸し出しサービスはないのかな。
30代,ママ友と一緒に子連れで映画を観に来ました。子どもが静かにしていてくれるか不安だったけど、楽しめた。
,ポイントの確認方法が分かりにくい。アプリやウェブサイトで簡単に確認できるようにしてほしい。
40代,アクション映画をシアター1で観ると没入感が半端ない。ここでしか味わえない体験だと思う。
60代,昔は映画が500円くらいだった。今は2000円か…時代が変わったとはいえ高く感じる。
20代,映画のリピート割引がほしい。同じ作品を2回目以降観るときは安くしてほしい。
50代,レイトショーは客層が落ち着いていて好き。マナーの良い人が多い印象。
70代以上,孫がドラえもんを観たいというので連れてきました。孫の笑顔が一番の特典です。
30代,映画グッズの通販があったら買い忘れても安心。劇場限定だと遠方の人は買えない。
10代,友達と放課後に映画に行くのが最高の息抜き。学割でもう少し安くなったら嬉しいけど。
,カップルで隣に座ると肘掛けの取り合いになる。もう少し余裕のある座席がほしい。
40代,映画館のトイレがきれい。子連れでも安心して利用できる。
20代,映画の情報がSNSで流れてきて「観たい！」と思ったらすぐ予約できる導線があると便利。
60代,吹替版の声優が合っていないと萎える。原語版（字幕）をもっと上映してほしい。
30代,雨の日の子連れのお出かけに映画館は最適。でも駐車場から入口まで濡れるのが難点。
50代,映画ファンとして、スタンプラリーのような来場特典があると通う楽しみが増える。
,フードを買う列とチケットを買う列が一緒になっていて分かりにくかった。動線を分けてほしい。
10代,映画を観る前にSNSでネタバレを見てしまった…。でも実際に大画面で観たら全然違う感動だった。
40代,毎月ファーストデイに来ると、なんとなく顔見知りの常連さんがいる。映画仲間ができたら楽しいかも。
20代,映画館の常連になったら、スタッフさんが「いつもありがとうございます」と声をかけてくれた。嬉しかった。
70代以上,冬場は館内が暖かくて助かる。外が寒い日は映画館に来るのが楽しみ。
30代,子どもがジュースをこぼしてしまった。すぐにスタッフの方が対応してくれて感謝。
,上映中に後ろの席の人が膝をシートの背もたれにぶつけてきて不快だった。マナーの問題だとは分かっているけど。
60代,映画のポスターやパネルが飾ってあると楽しい。ロビーの装飾にもう少し力を入れてほしい。
50代,月曜のメンズデイは一人客が多いので、気兼ねなく一人映画を楽しめる日として重宝しています。
40代,家族4人分の座席をオンラインで一括予約できるのが便利。でもたまに決済エラーが出る。
20代,映画を観終わった後の余韻を楽しめるカフェスペースがロビーにあったら最高。
10代,テスト明けに友達と映画に行くのが恒例。ご褒美映画と呼んでいます。
,清掃が行き届いていない時がある。特にドリンクホルダー周り。
30代,子ども向け映画の上映が土日に集中しすぎ。平日にも1回は子ども向けの上映枠がほしい。
60代,映画の後に近くで食事できる場所が少ない。映画とセットで楽しめるようなプランがあると嬉しい。
20代,上映前の「マナームービー」が毎回同じで飽きた。たまには変えてほしい。
50代,シアター6はちょうどいいサイズ。200席くらいが見やすくて好みです。
,入場時にモタモタしている人がいると後ろが詰まる。QRコードで自動入場にしてほしい。
40代,映画のラインナップが東京と比べると少ない気がする。もう少しミニシアター系の作品も上映してほしい。
10代,映画を観るために静岡駅まで電車で来ている。交通費も含めると結構な出費。映画代だけでも安くしてほしい。
70代以上,最近は若い人と一緒に映画を観る機会が増えた。アニメ映画は世代を超えて楽しめるからいい。
30代,日曜の朝の回は家族連れが多くて賑やか。それはそれで楽しいけど、静かに観たい時は平日を選ぶ。
20代,映画のサブスクサービスがあったら即入会する。月額いくらで一定回数観られるプラン。
,障がい者割引の対象範囲をもう少し広げてほしい。付き添い者も割引になると助かる。
60代,音響が良いスクリーンで観ると迫力が全然違う。でも上映スクリーンは選べないのが残念。
50代,ポップコーンのバターの匂いが苦手。食べ物の種類をもっと増やしてほしい。
40代,コンセッションの接客が丁寧で好印象。特に混雑時でも笑顔で対応してくれる。
20代,雨の日のレイトショーは空いていて穴場。おすすめです。
30代,子どもと一緒に映画を観る時間は、親子の絆を深めるいい機会。ありがたい場所です。
10代,映画館に行くと毎回ワクワクする。あの暗くなる瞬間が好き。
,エスカレーターが片方しか動いていない時がある。両方動かしてほしい。
60代,映画の字幕が早くて追いきれないことがある。字幕の表示時間をもう少し長くしてほしい。
50代,平日午前の回は高齢者が多い。同世代が多いと安心感がある。
40代,映画館が老朽化している部分がある。トイレの設備を新しくしてほしい。
20代,映画を観た後にレビューサイトで感想を読むのが好き。映画館独自のレビューコーナーがあったら楽しい。
30代,映画を観ているときに子どもが「つまらない」と言い出した。子どもが最後まで楽しめる上映時間の映画が増えるといい。
10代,映画のエンドロール後に追加映像があるかどうか事前に教えてほしい。途中で帰って見逃したことがある。
,週末の夕方は駐車場が満車のことが多い。提携駐車場の情報をもっと分かりやすく提示してほしい。
