上映ID,作品ID,作品名,スクリーンID,上映日,開始時刻,終了時刻,レイトショー,曜日種別,特別日
S00154,M0005,(吹替)ズートピア2,6,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00155,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00156,M0002,国宝,6,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00157,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00158,M0005,(吹替)ズートピア2,7,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00159,M0005,(吹替)ズートピア2,7,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00160,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00161,M0003,名探偵コナン 隻眼の残像,7,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00162,M0005,(吹替)ズートピア2,7,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00163,M0003,名探偵コナン 隻眼の残像,8,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00164,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00165,M0001,劇場版「鬼滅の刃」無限城編　第一章,8,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00166,M0003,名探偵コナン 隻眼の残像,8,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00167,M0002,国宝,8,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00168,M0001,劇場版「鬼滅の刃」無限城編　第一章,8,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00169,M0004,劇場版『チェンソーマン レゼ篇』,9,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00170,M0001,劇場版「鬼滅の刃」無限城編　第一章,9,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00171,M0002,国宝,9,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00172,M0005,(吹替)ズートピア2,9,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00173,M0004,劇場版『チェンソーマン レゼ篇』,9,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00174,M0002,国宝,9,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00175,M0004,劇場版『チェンソーマン レゼ篇』,10,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00176,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00177,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00178,M0004,劇場版『チェンソーマン レゼ篇』,10,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00179,M0003,名探偵コナン 隻眼の残像,10,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00180,M0002,国宝,10,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00181,M0002,国宝,1,2025-01-04,09:30,11:30,False,土日祝,
S00182,M0005,(吹替)ズートピア2,1,2025-01-04,12:00,14:00,False,土日祝,
S00183,M0003,名探偵コナン 隻眼の残像,1,2025-01-04,14:30,16:30,False,土日祝,
S00184,M0003,名探偵コナン 隻眼の残像,1,2025-01-04,17:00,19:00,False,土日祝,
S00185,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-04,19:00,21:00,False,土日祝,
S00186,M0005,(吹替)ズートピア2,1,2025-01-04,21:10,23:10,True,土日祝,
S00187,M0005,(吹替)ズートピア2,2,2025-01-04,09:30,11:30,False,土日祝,
S00188,M0002,国宝,2,2025-01-04,12:00,14:00,False,土日祝,
S00189,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-04,14:30,16:30,False,土日祝,
S00190,M0004,劇場版『チェンソーマン レゼ篇』,2,2025-01-04,17:00,19:00,False,土日祝,
S00191,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-04,19:00,21:00,False,土日祝,
S00192,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-04,21:10,23:10,True,土日祝,
S00193,M0003,名探偵コナン 隻眼の残像,3,2025-01-04,09:30,11:30,False,土日祝,
S00194,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-04,12:00,14:00,False,土日祝,
S00195,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-04,14:30,16:30,False,土日祝,
S00196,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-04,17:00,19:00,False,土日祝,
S00197,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-04,19:00,21:00,False,土日祝,
S00198,M0005,(吹替)ズートピア2,3,2025-01-04,21:10,23:10,True,土日祝,
S00199,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-04,09:30,11:30,False,土日祝,
S00200,M0003,名探偵コナン 隻眼の残像,4,2025-01-04,12:00,14:00,False,土日祝,
S00201,M0002,国宝,4,2025-01-04,14:30,16:30,False,土日祝,
S00202,M0002,国宝,4,2025-01-04,17:00,19:00,False,土日祝,
S00203,M0003,名探偵コナン 隻眼の残像,4,2025-01-04,19:00,21:00,False,土日祝,
S00204,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-04,21:10,23:10,True,土日祝,
S00205,M0004,劇場版『チェンソーマン レゼ篇』,5,2025-01-04,09:30,11:30,False,土日祝,
S00206,M0001,劇場版「鬼滅の刃」無限城編　第一章,5,2025-01-04,12:00,14:00,False,土日祝,
S00207,M0001,劇場版「鬼滅の刃」無限城編　第一章,5,2025-01-04,14:30,16:30,False,土日祝,
S00208,M0003,名探偵コナン 隻眼の残像,5,2025-01-04,17:00,19:00,False,土日祝,
S00209,M0003,名探偵コナン 隻眼の残像,5,2025-01-04,19:00,21:00,False,土日祝,
S00210,M0003,名探偵コナン 隻眼の残像,5,2025-01-04,21:10,23:10,True,土日祝,
S00211,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-04,09:30,11:30,False,土日祝,
S00212,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-04,12:00,14:00,False,土日祝,
S00213,M0005,(吹替)ズートピア2,6,2025-01-04,14:30,16:30,False,土日祝,
S00214,M0003,名探偵コナン 隻眼の残像,6,2025-01-04,17:00,19:00,False,土日祝,
S00215,M0005,(吹替)ズートピア2,6,2025-01-04,19:00,21:00,False,土日祝,
S00216,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-04,21:10,23:10,True,土日祝,
S00217,M0004,劇場版『チェンソーマン レゼ篇』,7,2025-01-04,09:30,11:30,False,土日祝,
S00218,M0004,劇場版『チェンソーマン レゼ篇』,7,2025-01-04,12:00,14:00,False,土日祝,
S00219,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-04,14:30,16:30,False,土日祝,
S00220,M0005,(吹替)ズートピア2,7,2025-01-04,17:00,19:00,False,土日祝,
S00221,M0002,国宝,7,2025-01-04,19:00,21:00,False,土日祝,
S00222,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-04,21:10,23:10,True,土日祝,
S00223,M0005,(吹替)ズートピア2,8,2025-01-04,09:30,11:30,False,土日祝,
S00224,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-04,12:00,14:00,False,土日祝,
S00225,M0002,国宝,8,2025-01-04,14:30,16:30,False,土日祝,
S00226,M0005,(吹替)ズートピア2,8,2025-01-04,17:00,19:00,False,土日祝,
S00227,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-04,19:00,21:00,False,土日祝,
S00228,M0003,名探偵コナン 隻眼の残像,8,2025-01-04,21:10,23:10,True,土日祝,
S00229,M0002,国宝,9,2025-01-04,09:30,11:30,False,土日祝,
S00230,M0003,名探偵コナン 隻眼の残像,9,2025-01-04,12:00,14:00,False,土日祝,
S00231,M0005,(吹替)ズートピア2,9,2025-01-04,14:30,16:30,False,土日祝,
S00232,M0003,名探偵コナン 隻眼の残像,9,2025-01-04,17:00,19:00,False,土日祝,
S00233,M0005,(吹替)ズートピア2,9,2025-01-04,19:00,21:00,False,土日祝,
S00234,M0002,国宝,9,2025-01-04,21:10,23:10,True,土日祝,
S00235,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-04,09:30,11:30,False,土日祝,
S00236,M0002,国宝,10,2025-01-04,12:00,14:00,False,土日祝,
S00237,M0002,国宝,10,2025-01-04,14:30,16:30,False,土日祝,
S00238,M0005,(吹替)ズートピア2,10,2025-01-04,17:00,19:00,False,土日祝,
S00239,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-04,19:00,21:00,False,土日祝,
S00240,M0002,国宝,10,2025-01-04,21:10,23:10,True,土日祝,
S00241,M0003,名探偵コナン 隻眼の残像,1,2025-01-05,09:30,11:30,False,土日祝,
S00242,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-05,12:00,14:00,False,土日祝,
S00243,M0003,名探偵コナン 隻眼の残像,1,2025-01-05,14:30,16:30,False,土日祝,
S00244,M0003,名探偵コナン 隻眼の残像,1,2025-01-05,17:00,19:00,False,土日祝,
S00245,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-05,19:00,21:00,False,土日祝,
S00246,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-05,21:10,23:10,True,土日祝,
S00247,M0002,国宝,2,2025-01-05,09:30,11:30,False,土日祝,
S00248,M0004,劇場版『チェンソーマン レゼ篇』,2,2025-01-05,12:00,14:00,False,土日祝,
S00249,M0005,(吹替)ズートピア2,2,2025-01-05,14:30,16:30,False,土日祝,
S00250,M0003,名探偵コナン 隻眼の残像,2,2025-01-05,17:00,19:00,False,土日祝,
S00251,M0005,(吹替)ズートピア2,2,2025-01-05,19:00,21:00,False,土日祝,
S00252,M0002,国宝,2,2025-01-05,21:10,23:10,True,土日祝,
S00253,M0002,国宝,3,2025-01-05,09:30,11:30,False,土日祝,
S00254,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-05,12:00,14:00,False,土日祝,
S00255,M0002,国宝,3,2025-01-05,14:30,16:30,False,土日祝,
S00256,M0003,名探偵コナン 隻眼の残像,3,2025-01-05,17:00,19:00,False,土日祝,
S00257,M0005,(吹替)ズートピア2,3,2025-01-05,19:00,21:00,False,土日祝,
S00258,M0002,国宝,3,2025-01-05,21:10,23:10,True,土日祝,
S00259,M0005,(吹替)ズートピア2,4,2025-01-05,09:30,11:30,False,土日祝,
S00260,M0003,名探偵コナン 隻眼の残像,4,2025-01-05,12:00,14:00,False,土日祝,
S00261,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-05,14:30,16:30,False,土日祝,
S00262,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-05,17:00,19:00,False,土日祝,
S00263,M0005,(吹替)ズートピア2,4,2025-01-05,19:00,21:00,False,土日祝,
S00264,M0002,国宝,4,2025-01-05,21:10,23:10,True,土日祝,
S00265,M0005,(吹替)ズートピア2,5,2025-01-05,09:30,11:30,False,土日祝,
S00266,M0002,国宝,5,2025-01-05,12:00,14:00,False,土日祝,
S00267,M0002,国宝,5,2025-01-05,14:30,16:30,False,土日祝,
S00268,M0005,(吹替)ズートピア2,5,2025-01-05,17:00,19:00,False,土日祝,
S00269,M0005,(吹替)ズートピア2,5,2025-01-05,19:00,21:00,False,土日祝,
S00270,M0005,(吹替)ズートピア2,5,2025-01-05,21:10,23:10,True,土日祝,
S00271,M0005,(吹替)ズートピア2,6,2025-01-05,09:30,11:30,False,土日祝,
S00272,M0002,国宝,6,2025-01-05,12:00,14:00,False,土日祝,
S00273,M0003,名探偵コナン 隻眼の残像,6,2025-01-05,14:30,16:30,False,土日祝,
S00274,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-05,17:00,19:00,False,土日祝,
S00275,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-05,19:00,21:00,False,土日祝,
S00276,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-05,21:10,23:10,True,土日祝,
